Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
798365957,126784,238,,,,,,,,,,2.000,15774.032,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
798619813,1017886,239,,,,,,,,,,10.000,9820.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
799764451,1039838,240,,,,,,,,,,10.000,9610.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
801809664,76575,241,,,,,,,,,,2.000,26118.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
801895487,801,242,,,,,,,,,,0.000,4.994,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817316646,3519,243,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817344837,2816,244,,,,,,,,,,0.000,1.420,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817360965,864,245,,,,,,,,,,0.000,4.630,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817368581,5216,246,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817376037,2368,247,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817387301,800,248,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817391173,6080,249,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817403941,2688,250,,,,,,,,,,0.000,1.488,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817414981,896,251,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817419397,7072,252,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817432645,2368,253,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817443749,800,254,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817446917,8640,255,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817460261,2368,256,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817470821,800,257,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817474117,14016,258,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817495077,2368,259,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817505605,800,260,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817509157,57504,261,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817569797,2400,262,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817580325,800,263,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817583717,141920,264,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817727493,2368,265,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817737957,800,266,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817741541,174591,267,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
817919172,2336,268,,,,,,,,,,0.000,1.712,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
817929572,800,269,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
817932869,153311,270,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818093092,2368,271,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818103780,800,272,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818107332,129952,273,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818243620,2368,274,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818254372,800,275,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818257572,109184,276,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818369572,2368,277,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818380516,800,278,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818383556,87135,279,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818478115,2400,280,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818488515,800,281,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818492003,70496,282,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818570275,2496,283,,,,,,,,,,0.000,1.603,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818580931,800,284,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818583843,60256,285,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818646051,2368,286,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818656483,800,287,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818660131,52256,288,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818721827,2368,289,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818732259,800,290,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818735299,44992,291,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818789411,2368,292,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818799811,800,293,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818802947,37440,294,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818848803,2368,295,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818859267,832,296,,,,,,,,,,0.000,4.808,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818862723,29248,297,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818900003,2368,298,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818910371,896,299,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818913571,27199,300,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818943010,2752,301,,,,,,,,,,0.000,1.453,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818953890,896,302,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
818957378,27616,303,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
818987042,2432,304,,,,,,,,,,0.000,1.645,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
818997442,800,305,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
819000738,27265,306,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
819030051,2400,307,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
819040643,896,308,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
819044291,27167,309,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
819073250,2400,310,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
819083874,800,311,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
819087202,27744,312,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
819124258,2400,313,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
819135010,800,314,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
819137954,27424,315,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
819167266,2400,316,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
819177890,896,317,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
819181474,27520,318,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
819211266,2464,319,,,,,,,,,,0.000,1.623,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
819223746,46336,320,,,,,,,,,,2.000,43162.000,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
824296153,124992,332,,,,,,,,,,2.000,16000.032,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
824559097,1000478,333,,,,,,,,,,10.000,9990.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
825682295,993182,334,,,,,,,,,,10.000,10060.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
826993621,75328,335,,,,,,,,,,2.000,26550.000,Pageable,Device,NVIDIA L20X (0),1,,7,[CUDA memcpy Host-to-Device]
827076725,800,336,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827078997,3744,337,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827086869,2528,338,,,,,,,,,,0.000,1.582,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827099157,896,339,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827103605,4992,340,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827116565,2399,341,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827127285,896,342,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827130741,5984,343,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827143189,2368,344,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827153685,896,345,,,,,,,,,,0.000,4.464,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827157909,7200,346,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827170837,2368,347,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827181333,864,348,,,,,,,,,,0.000,4.630,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827184437,9344,349,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827196437,2400,350,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827207061,800,351,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827210613,14624,352,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827231221,2400,353,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827241748,800,354,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827245268,57856,355,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827307028,2368,356,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827317780,800,357,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827321076,143520,358,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827472916,2400,359,,,,,,,,,,0.000,1.667,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827483892,832,360,,,,,,,,,,0.000,4.808,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827487604,174656,361,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827665428,2368,362,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827676084,800,363,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827679252,152544,364,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827839508,2368,365,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827850388,768,366,,,,,,,,,,0.000,5.208,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
827853236,130080,367,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
827989043,2368,368,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
827999699,832,369,,,,,,,,,,0.000,4.808,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
828003475,108928,370,1954,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L20X (0),1,,7,"bf_relax_kernel(int, const int *, const int *, const float *, float *, int *)"
828114963,2368,371,,,,,,,,,,0.000,1.689,Device,Pageable,NVIDIA L20X (0),1,,7,[CUDA memcpy Device-to-Host]
828125523,800,372,,,,,,,,,,0.000,5.000,Device,,NVIDIA L20X (0),1,,7,[CUDA memset]
